fid,id,open_date,name,location,lat,lon,threat,tags,commodity,measure_skim,measure_shore,measure_bio,measure_disperse,measure_burn,max_ptl_release_gallons,posts,description
27,10711,2023/12/18,"Sodium Chlorate Spill, Port of Seattle; Seattle, WA","3443 W Marginal Way SW, Seattle, WA 98106",47.57385,-122.35916,Chemical,,Sodium Chlorate,,,,,,,0,"The morning of 18-DEC-2023, the USCG Sector Puget Sound notified the NOAA SSC NW of an approx. one-ton release of sodium chlorate at the Port of Seattle last night due to a rupture in containment. A small quantity is reported to have gone in the water. The USCG is requesting information on chemical properties and hazards associated with this chemical for response."
28,10706,2023/12/10,"Fin Whale Carcass on Pacific Beach; San Diego, CA","Pacific Beach, San Diego, CA",32.7952880733299,-117.258367538452,Other,,,,,,,,,0,"On December 10, 2023, the NOAA NMFS Stranding Coordinator in CA contacted the NOAA SSC regarding a 50-foot-long fin whale carcass on Pacific Beach, San Diego, CA.  NMFS requested a carcass drift estimate to aid in determining how far offshore to tow the carcass so it does not re-beach in the upcoming days."
30,10694,2023/11/20,"Tug Releasing Residual Sheen; Orcas Island, WA","525 Deer Harbor Rd, Eastsound, WA 98245",48.62916,-122.95934,Oil,Derelict,,,,,,,,1,"On 20-NOV-2023, the USCG Sector Puget Sound IMD notified the NOAA NW SSC that the 80’ Tug El Capitan began to release a residual sheen in Deer Harbor, Orcas Island, WA on 18-NOV. In 2020, the vessel had previously sunk and the USCG removed all accessible fuel products. On November 18th, the vessel began to release a residual sheen, IOSA hard boomed the area. On the 19th, Global dove on the vessel and plugged one vent, replaced sorbent boom and pads and no additional sheen has been observed."
31,10691,2023/11/12,"Tug and Barge Collide with Pipeline on Columbia River; Clatskanie, OR","81200 Kallunki Rd, Clatskanie, OR 97016",46.18115,-123.18584,Oil,Collision|Pipeline,R99 Renewable Diesel,,,,,,25200,0,"On November 12, 2023, the USCG Sector Columbia River notified the NOAA SSC NW that the Tug Cindy B and Barge St. John collided with a pipeline at the Columbia Pacific Bio Refinery on the Columbia River earlier this morning near Clatskanie, OR. There is potential for approx. 600 bbl, although only residual R99 renewable diesel is reported in the pipeline, there is no spill or sheen observed at this time. The pipeline has been shut down, an OSRO is on-site, the area is boomed and a vac truck is removing oil product."
34,10683,2023/10/25,"Tug Vessel Sunk; Tulalip Bay Marina, WA","Snohomish County, WA",48.05,-122.33,Oil,,Diesel,,,,,,,0,"On 25-OCT-2023 the USCG Sector Puget Sound notified the NOAA SSC of a 30’ tug vessel submerged at the Tulalip Bay Marina, WA. There is approx. 60 gallons diesel on board with a max. potential of 300 gallons. Sheening is observed and the marina has deployed boom. There are two salmon hatcheries in the area. The USCG federalized the case and is working with a contractor remove the vessel."
35,10677,2023/10/12,"Mystery Tar Balls; Bandon, OR","Bandon, OR, USA",43.1973602084619,-124.39945220598,Oil,,,,,,,,,0,"On October 12, 2023, the USCG Sector Columbia River contacted the NOAA NW RRO in reference to a potential sheen reported at Bandon, OR. USCG is en route and has sent photos they received from on-scene and requested an opinion on whether this is a natural phenomenon or a petroleum release."
36,10669,2023/09/26,"Tug MAZAPETA sunk; Little Potato Slough, Stockton, CA","Little Potato Slough, Stockton, CA",38.0573546902985,-121.500978469849,Oil,,diesel and lube,1,,,,,1600,0,"On the afternoon of 26-SEP-2023, USCG Sector San Francisco contacted their NOAA SSC for oil fate/transport support for an ongoing sunken vessel case in the Sacramento/San Joaquin River Delta.  On 04-SEP, the Tug MAZAPETA sank to the bottom (partially submerged) in Little Potato Slough, a tributary of the Stockton Deep Water Channel.  The owner estimated 1,000 gallons diesel and 600 gallons engine oil were on-board at the time of sinking.  Sector San Francisco requested oil fate/transport information to assist in discussions with the City of Stockton and other key stakeholders"
37,10657,2023/08/28,"26-foot Cabin Cruiser Sunk, Bellingham Bay, Bellingham, WA","Bellingham, WA",48.72371,-122.5091,Oil,,gasoline,,,,,,35,0,"On 28-AUG-2023, USCG Sector Puget Sound notified the NOAA SSC that a 26-foot cabin cruiser sank in Bellingham Bay, WA. It is unknown how much fuel product is on board the vessel. There has been no reported sheen or fuel observed in the water. Ownership of the vessel is under investigation, The USCG opened the OSLTF and requested a verbal ESI/ Resources at Risk to prepare for pollution response."
38,10658,2023/08/27,"53-foot Motor Yacht Adrift Off Big Sur, CA","off Big Sur, CA",36.028,-121.86733333,Oil,,Diesel,,,,,,800,0,"Late Sunday night (27-AUG-2023), USCG Sector San Francisco contacted ERD’s Hazmat Duty Officer for notification purposes only of the 53’ Motor Yacht SERENITY then adrift.  The SERENITY was the subject of a USCG search & rescue operation Sunday evening with an estimated 800 gallons diesel on-board.  The incident occurred during heavy weather conditions (winds exceeding 20 knots from the NW and building to well over 30 knots) and all persons on board (POBs) were rescued.   ERD provided support for possible drift estimates of the vessel to inform the vessel owner’s aerial search planned for Friday (01-SEP), in the event it is still afloat."
40,10654,2023/08/23,"Fishing Vessel Taking on Water, Westport Marina, Grays Harbor, WA","Westport Marina, Grays Harbor, WA",46.90926,-124.10906,Oil,,Diesel,,,,,,1200,0,"On 23-AUG-2023 the USCG Station Astoria notified the NOAA SSC of the F/V Pacific Bay taking on water while moored at the Westport Marina, WA. There is a max. potential of approx. 1,200 gallons of diesel on board. The vessel owner is repairing the bilge pump and is making plans to pump off the oily water to totes at the Port of Grays Harbor."
41,10652,2023/08/17,"43-Foot Vessel Sunk near Bolsa Chica Wetlands, Huntington Beach, CA","Huntington Beach, CA",33.68194444,-118.04205556,Oil,,Diesel,1,,,,,300,0,"The evening of 17-AUG-2023, USCG Sector LA/Long Beach contacted their NOAA SSC to request support for a 43’ vessel sunk roughly 300 yds outside the entrance to the Bolsa Chica Wetlands, Huntington Beach, CA.  At the time, the vessel was reportedly carrying 300 gallons diesel and it was not clear whether it was actively sheening or not.  USCG requested trajectory support in the event of a catastrophic release overnight or during the morning hours."
43,10626,2023/06/30,"108’ Vessel Aground, Brownsville Marina, WA","Brownsville Marina, WA",47.650492,-122.613939,Oil,Grounding,diesel,,,,,,20000,0,"On June 30, 2023, the USCG Sector Puget Sound notified the NOAA Northwest SSC that on 29 June the 108-foot vessel ‘YTB823’ broke free from its mooring and ran aground off Brownsville, WA. This is a prior USN vessel now privately owned. There is a max. potential of approx. 20k gallons of diesel and 80 gallons of motor oil, there are no signs that the tanks were damaged. There has been no sheen observed in the water."
45,10620,2023/06/13,Fishing Vessel Taking on Water off Southern Oregon Coast,Oregon Coast,42.65627778,-124.51572222,Oil,Adrift,diesel & hydraulic oil,,,,,,1200,0,"On June 13, 2023, the USCG Sector Columbia River notified the SSC for the Pacific Northwest that the  47’ F/V Nadine is taking on water off the southern Oregon coast. Search and rescue operations rescued all persons on board. There is max. potential for 1200 gallons of diesel and 100 gallons of hydraulic oil on board, no oil is observed to have released. A trajectory was requested."
48,10600,2023/04/15,"Washington State Ferry Aground, Bainbridge Island, WA","Bainbridge Island, WA",47.59831,-122.5478,Oil,Grounding,,,,,,,,0,"NOAA SSC was notified that the Washington State Ferry Walla Walla ran aground in Rich Passage, on Bainbridge Island, WA, while enroute from Bremerton to Seattle. There are approx. 600 passengers aboard with no report of injuries. A tug and USCG vessels are on-scene. There has been no observed oil release. Peak low tide is 2000 this evening. A plan to offload passengers is being developed. ."
49,10598,2023/04/08,"Fishing Vessel Fire, Hylebos Waterway, Tacoma, WA","Hylebos Waterway, Tacoma, WA",47.2835,-122.40874,Oil,,Diesel,,,,,,56000,3,"At 1026L on 8-April-2023, USCG Sector Puget Sound IMD notified the SSC for the Pacific Northwest that the F/V Kodiak Enterprise is on fire on the Hylebos Waterway in Tacoma, WA. There is a max. potential of 200k gallons diesel with an estimated 50k diesel on board the vessel. No oil release or sheen is observed at this time. The fire is reported in the accommodation spaces and the vessel is starting to list. The USCG requested RAR, trajectory and air dispersion models."
50,10596,2023/04/01,"Bucket of Engine Oil Washed up at Sitka Sedge State Natural Area, OR","Tierra Del Mar, OR",45.27168,-123.9661,Oil,,engine oil,,,,,,5,0,"On April 1, 2023, the USCG Sector Columbia River contacted the Pacific Northwest SSC about a 5-gallon bucket of engine oil that washed up at Sitka Sedge State Natural Area, Oregon, and reports of oil droplets along a half-mile of beach. Phone support for oil behavior, response considerations, and resources at risk was provided."
51,10582,2023/03/14,"Partially Submerged Vessel off the Port of Los Angeles, CA","off the Port of Los Angeles, CA",33.665,-118.28744444,Oil,,Diesel,,,,,,800,0,"On March 14, 2023, the USCG Sector LA/Long Beach contacted their NOAA SSC about a partially submerged 30-40’ vessel that is currently the subject of a USCG search & rescue operation.  The vessel is currently adrift roughly 3.3 NM Southwest of the Angeles Gate entrance to the Port of Los Angeles.  A ½ mile sheen has been observed around the vessel, but the vessel name, type, fuel type, and fuel capacity are unknown at this time.  USCG requested trajectory support for an estimated maximum potential of 800 gallons of diesel fuel."
52,10579,2023/03/09,"85' Fishing Vessel Fire, Westport Marina, WA","Westport Marina, WA",46.9085604432467,-124.109416007996,Oil,,diesel,,,,,,1000,0,"OnMarch 9, 2023, the USCG Sector Columbia River notified the NOAA SSC that an 85’ commercial fishing vessel is on fire at the Westport Marina in Washington with a potential for 7,000 gallons of diesel and additional hydraulic and engine oils on board. The Fire Department is on-scene and the USCG and Marina Manager are in route. It is unknown if there has been a release or sheen."
56,10569,2023/02/12,"Lube Oil Discharge into Columbia River, Astoria, OR","Astoria, OR, USA",46.2079436266045,-123.788652413059,Oil,,Lube Oil,,,,,,500,0,"On February 12, 2023, the freighter M/V Amis Miracle began discharging an unknown amount of lube oil into the Columbia River from the Astoria Anchorage site. The leak is due to an equipment malfunction and has not yet been secured. The vessel is slowly discharging lube oil and has a max potential of 500 gallons. There is a slight sheen present and the owner is on-scene working to secure the leak."
57,10567,2023/02/09,"Fishing Vessel Sunk off Redondo Beach, CA","off Redondo Beach, CA",33.84577778,-118.41494444,Oil,,Diesel,,,,,,150,0,"On 09-FEB-2023, USCG Sector LA/LB contacted their NOAA SSC to request trajectory support for the 43’ sunken F/V MATADOR off Redondo Beach, CA.  The vessel reportedly sank at 0200 hrs on 08-FEB, 1/3 mile offshore, in 170’ of water, with an estimated 50 gallons diesel on-board (max potential 150 gallons)."
58,10565,2023/02/04,"Pleasure Craft Adrift and Sinking, Southwest of Half Moon Bay, CA","SSW of Half Moon Bay, CA",37.39244444,-122.5395,Oil,,Diesel,,,,,,700,0,"On 04-FEB-2023, USCG Sector San Francisco contacted their NOAA SSC about the  70' yacht SERENITY believed to be carrying 600-700 gallons fuel on board when it began taking on water.  People were safely removed from the vessel during a USCG search & rescue (SAR) operation.  Sector SF IMD requested a vessel drift estimate."
60,10562,2023/01/23,"Navy Vessel Sunk after Collision with Security Zone Boom, Bangor Trident Base, WA","Bangor Trident Base, WA, USA",47.7376211469127,-122.741174690891,Oil,Collision,Diesel,0,,,,,80,0,"On Jan-19, 2023, a 36' Navy vessel sank after colliding with the Naval Station Bangor security zone boom. The vessel sank in 150 ft of water with 80 gallons of diesel on board.  The USCG contacted the NOAA NW SSC on behalf of the Navy to request a RAR."
61,10554,2023/01/06,"Sheen Report at Summerland Beach, Summerland, CA","Summerland, CA",34.418866,-119.604449,Oil,,CA crude oil,0,0,,,,,0,"On January 6, 2023, the USCG Marine Safety Detachment Santa Barbara contacted their NOAA SSC to request oil fate information for a sheen report on Summerland Beach from earlier in the day.  Now an inactive oil field in Santa Barbara County, it is among the most active areas of natural oil seeps in the world with many abandoned and decommissioned oil wells from as early as the 1890s.  Initial oil movement information was provided via telephone, though a more specific request for trajectory support is anticipated after site inspections the morning of 07-JAN-2023."
63,10544,2022/12/15,"Fishing Vessel Grounded in Chinese Harbor, Santa Cruz Island, CA","Santa Cruz Island, CA",34.0326221555033,-119.606502056122,Oil,,Diesel,,,,,,800,2,"On December 15, 2022, the USCG Marine Safety Detachment (MSD) Santa Barbara contacted their NOAA SSC to request trajectory support for the 59’ F/V SPERANZA MARIE grounded in Chinese Harbor, Santa Cruz Island, CA.  The vessel reportedly ran aground in the early morning hours with 6 persons on board who were rescued without injury.  At the time, crewmembers reported a strong smell of diesel.  The vessel may have been carrying roughly 1,000 gallons of diesel at the time, though the maximum capacity is reportedly 4,000 gallons (total across 4 separate tanks). The grounding location is along the shores of the Channel Islands National Park (NPS) and within the Channel Islands National Marine Sanctuary (NOAA). USCG requested trajectory support as assets are mobilized to the scene."
64,10533,2022/11/05,"Recreational Vessel Sunk, Port Hadlock, WA","Port Hadlock-Irondale, WA, USA",48.0319494918446,-122.745258804644,Oil,,,,,,,,,1,"On 5 Nov 2022, the USCG notified NOAA about a sunken vessel outside of the Port Hadlock Marina, WA. There were 2 POBs, who abandoned ship and are currently being treated at a hospital for hypothermia.  USCG requested a brief weather forecast for Port Hadlock for decision-making purposes"
67,10517,2022/09/15,"Mystery Sheen, Depoe Bay, OR",Oregon,44.83533333,-124.07616667,Oil,Mystery Substance,,,,,,,,0,"On 15-SEP-2022, USCG Sector Columbia River notified NOAA SSC of a mystery sheen that was observed approx. 1 mile offshore from Depoe Bay, OR. The sheen extends for approx. 700 yards, the quantity and type of product is unknown, a strong diesel odor was reported. A trajectory is requested to determine the extent of coverage for an overflight and if the oil will have shoreline impacts."
68,10516,2022/09/04,"Seaplane Down, Mutiny Bay, Whidbey Island, WA",Mutiny Bay,47.9921,-122.5856,Other,,,,,,,,,0,"In the afternoon of 4-SEPT-2022, a seaplane went down on the west side of Whidbey Island near Mutiny Bay, WA. NOAA was not involved in the search and rescue activities. This ResponseLink is created to capture coordination efforts. NOAA assets have been requested for survey ops."
69,10514,2022/09/03,"40-foot Vessel Sunk, Two Harbors, Santa Catalina Island, CA","Two Harbors, Santa Catalina Island, CA",33.44333333,-118.495,Oil,,Diesel,,,,,,150,0,"On September 3, 2022, USCG Sector Los Angeles/Long Beach contacted the NOAA SSC to request a hypothetical ""what if"" trajectory for a 40’ vessel that had sunk at a mooring ball in Isthmus Cove at Two Harbors, Santa Catalina Island.  The P/C DAS PUG BOOT is not currently sheening and is apparently sitting on the bottom in roughly 45’ of water."
70,10512,2022/08/29,"""Red Tide"" algae bloom, San Francisco Bay, CA","San Francisco Bay, CA",37.8100912189924,-122.35701084137,Other,,Algae bloom,,,,,,,0,"On August 29, 2022, USCG Sector San Francisco contacted the NOAA SSC regarding an algae bloom in San Francisco Bay that has recently been attracting media attention.  The current bloom that has been developing for a few weeks has caused fish kills and rust/tea colored water and Sector has seen an increase in reports from the public concerned about discolored water.  The algae has been identified as a Heterosigma species, commonly known to cause “red tides”.   USCG requested amplifying information on this recent bloom as they continue to respond to reports from the public and assess their response posture."
71,10509,2022/08/16,"Fishing Vessel Aground, Grays Harbor Jetty, Westport, WA","Grays Harbor Jetty, Westport, WA",46.87233333,-124.12216667,Oil,Grounding,Diesel,,,,,,6000,0,"On August 16, 2022, the USCG Sector Columbia River notified the NOAA SSC that the F/V Lady Debbie ran aground south of the Grays Harbor Jetty in Westport, WA. There is potential for 6,000 gallons of diesel."
72,10507,2022/08/14,"Sunken pleasure craft, Whites Landing, Santa Catalina Island, CA","Whites Landing, Santa Catalina Island, CA",33.3912522920441,-118.366785049438,Oil,,Gasoline,,,,,,30,0,"On August 14, 2022, USCG Sector LA/LB contacted their NOAA SSC regarding a grounded/sunken pleasure craft (CF-3129KD) off Whites Landing, north of Avalon, Santa Catalina Island, CA.  The vessel had been taking on water on 13-AUG-2022 and was being towed when she grounded.  She was reportedly carrying 30 gallons of gasoline at the time, though the max potential was 100 gallons.  USCG requested oil fate information."
73,10505,2022/08/13,"Fishing Vessel Sunk off San Juan Island, WA","681 Smuggler Cove, Friday Harbor, WA",48.5545,-123.1747,Oil,,"Diesel (approx 2500 ga), hydraulic, lube oils (100 ga)",1,0,,,,2600,6,"On 13-AUG-2022 at 1525L, the USCG Sector Puget Sound contacted the NOAA SSC about the F/V Aleutian Isle that sank 300 yards off San Juan Island, WA. The vessel has approx. 2,500 gallons diesel on board, there is no report of release or sheen. The vessel has fishing gear that is in the water. The CG requested a Resources at Risk."
76,10499,2022/07/29,"Diesel Spill at Navy Pier, Base Kitsap-Bangor, Silverdale, WA","Silverdale, WA, USA",47.7307257491296,-122.742948532104,Oil,,Diesel,1,,,,,150,0,"On 29-JUL-2022, USCG Sector Puget Sound contacted the NOAA SSC regarding a diesel spill at a Navy pier at Base Kitsap-Bangor.  An estimated 150 gallons were reported spilled, but an unknown volume went into the water.  USCG requested fate & transport info."
77,10496,2022/07/28,"1924 Former Car Ferry Partially Sunk, Astoria, OR","Astoria, OR",46.1920198795219,-123.836742639542,Oil,Derelict,Diesel,1,,,,,525,2,"On July 28, 2022, the USCG Sector Columbia River contacted the NOAA SSC regarding the partially sunk and sheening, wood-hulled M/V TOURIST No. 2.  A 300'x400' sheen is observed around the vessel located among pilings offshore of 6th Street.  It was reportedly fueled recently with 500-600 gallons of diesel.  USCG response staff on-scene inquired if local businesses with water intakes might be at risk."
81,10480,2022/06/21,"Diesel Leak from Commercial Fishing Vessel, Grays Harbor, WA","Grays Harbor, WA",46.8725,-124.19966667,Oil,,Diesel,,,,,,5000,0,"On June 21, 2022, the USCG Sector Columbia River contacted the NOAA SSC regarding a discharge from the 68’ commercial fishing vessel F/V Townsend.  The vessel was taking on water for unknown reasons and the engine room was flooded.  As the vessel was dewatered, diesel fuel was also pumped overboard. There is maximum potential for 10,000 gallons diesel. The vessel ran out of fuel and was towed to Grays Harbor. The USCG requested a trajectory and fate of the diesel"
82,10479,2022/06/20,"Potential Diesel Spill from Tank Barge under Tow offshore Eureka, CA","offshore Eureka, CA",40.94333333,-124.509,Oil,,Diesel,,,,,,1680000,0,"On the evening of 20-JUN-2022, USCG Sector San Francisco contacted their NOAA SSC to discuss a potential diesel spill from the tank barge MONTEREY towed by the Tug APACHE.  Reportedly, the aft portion of the MONTEREY contacted the entrance channel jetty as the tug & barge were departing Humboldt Bay, CA for Coos Bay, OR.  The barge is carrying 40,000 bbls of diesel, and is holding station roughly 14NM NW of the Eureka entrance buoy with no indications of a release at this time.  As local weather deteriorates, re-entering Humboldt Bay may pose some risk, so USCG is requesting fate & trajectory information to support COTP decision regarding tug & barge transit options."
83,10477,2022/06/18,"42' Fishing Vessel on Fire off Coast of Manzanita Beach, OR","Manzanita, OR, USA",45.69216667,-123.98883333,Oil,,diesel,,,,,,800,1,"On 18-JUN-2022, USCG Sector Columbia River notified NOAA SSC of a 42’ fishing vessel on fire off the coast of Manzanita Beach, OR. There is potential for 800 gallons of diesel on board. The vessel is still on fire, persons on board abandoned the vessel, and the Coast Guard has established a safety perimeter. The USCG is concerned with the vessel drifting towards shore and potential release. A trajectory and Resources at Risk were requested."
86,10474,2022/06/15,"Fire on 30' Vessel off Decatur Island, WA","Decatur Island, San Juan Islands, WA",48.48,-122.81,Oil,,Oil,,,,,,90,0,"6/15 at 1300, USCG Sector Puget Sound notified NOAA NW SSC of a 30' vessel fire off of Decatur Island, Honeymoon Cove (across from Center Is, E of Rim Is), San Juan Islands. The fire was caused by a butane tank explosion on board and has since been put out. An approximate 90 gallons of diesel and 2 propane tanks (max potential 100-200 ga) have been released, creating a non-recoverable, rainbow sheen. The USCG is on scene and funding has been opened to hire an OSRO to boom and salvage the vessel."
87,10471,2022/06/13,"Fishing Vessel Aground, Lois Island, Columbia River","Lois Island, Columbia River",46.19039,-123.73074,Oil,,diesel,,,,,,1200,0,"On June 13, 2022, the USCG Sector Columbia River contacted the NOAA SSC to report the wooden-hulled 60’ F/V Billie dragged anchor and was soft aground on the West side of Louis Island on the Columbia River. There is a maximum potential of 1200 gallons of diesel on board, there is no observed release of product at this time. The USCG Cutter Terrapin is nearby and monitoring the vessel’s condition.  The USCG is requesting an ESI and preliminary Resources at Risk."
88,10461,2022/05/20,"Possible Sheen Report off San Diego, CA","off San Diego, CA",32.705,-117.482,Oil,,Unknown,,,,,,,0,"On May 20, 2022, the USCG Sector San Diego contacted their NOAA SSC about a possible sheen report based on a satellite image taken offshore of Mission Bay.  The USCG requested any satellite-related input that might be pertinent to the case"
89,10456,2022/05/08,"Disabled Yacht with 7 People Aboard, 45 Miles NW of Grays Harbor, WA",Washington Coast,47.49511111,-124.67938889,Oil,,"diesel, oil",,,,,,6917,0,"On 8-MAY-2022 at 1520L, the USCG SPS contacted the NOAA SSC regarding a 140’ yacht DOMANI that had a fire on 7-MAY and has taken on water off the outer coast of Washington within the Olympic Coast National Marine Sanctuary. There is potential for 6,600 gallons diesel and 1,200 liters oil on board the vessel. There is no reported release of products. The USCG Cutter Active is providing dewatering support and towing the vessel to Neah Bay, WA for damage assessment."
90,10455,2022/05/06,"Weathered Tarballs in Southern California, Santa Monica Bay to Dana Point, CA","Santa Monica Bay to Dana Point, CA",33.5462591670577,-118.218383789062,Oil,,Crude,,,,,,,0,"A broad and prolonged period of tarballing (since early March) along the shores of Santa Monica Bay south to Dana Point has prompted many public reports and numerous sampling events to determine possible sources.  Most tarballs were described as moderately to heavily weathered and analysis indicates they are chemically consistent with natural seep oil.  Many natural seeps are well known to be active in areas of Santa Barbara Channel to Santa Monica Bay. Given the broad geographic spread of tarballs and the heightened public awareness of shoreline oiling from recent spills, CAL OSPR contacted the NOAA SSC around mid-day on 07-MAY-2022 to request trajectory-related information for some public outreach materials."
91,10443,2022/04/13,"50-foot Vessel Sunk in Hawkes Marina, Everett, WA","4116 34th Ave NE, Everett, WA 98201",48.03523,-122.18399,Oil,Derelict,Diesel,1,,,,,50,0,"On 13-APR-2022, the USCG  contacted the NW SSC to report that a 50’ vessel sank in Hawkes Marina, Everett, WA. There is an estimated 80 gallons of diesel on board, with a maximum potential of 400 gallons.  The vessel is leaking and creating a visible sheen. The case has been federalized and Global Diving is hired. A localized trajectory and resources at risk were requested."
92,10440,2022/04/08,"Container Ship Drifting in Heavy Weather off Point Reyes, CA","off Point Reyes, CA",38.0605,-123.12783333,Oil,,Low sulfur diesel,,,,,,39000,3,"At 1900 hrs on 08-APR-2022, USCG District 11 staff alerted their NOAA SSC of a drifting 560’ (172 m) container ship roughly 8 miles off Point Reyes.  She was experiencing engine troubles and the anchor was dragging under heavy weather conditions from the NW.  Three tugs are en route and a second anchor was deployed, which slowed drift to <1 knot.  Even so, she continues to drift towards the Point Reyes National Seashore and is reportedly carrying roughly 39,000 gallons of fuel."
93,10437,2022/04/06,"Gray Whale Carcass in San Francisco Bay, CA","San Francisco Bay, CA",37.8348644304616,-122.376008727675,Other,,Whale,,,,,,,0,"On the morning of 06-APR-2022, NMFS Stranding Coordinator in CA contacted the NOAA SSC regarding a 40-foot-long gray whale carcass in San Francisco Bay, CA. NMFS requested a carcass drift estimate to aid in determining how far offshore to tow the carcass so it does not re-beach in the upcoming days."
